Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,3156,834,9436,10957,12588,372,12804,0.0
jmeter_view_issue,15556,3462,3419,4268,4642,5490,181,8128,0.0
jmeter_search_jql,4685,16111,16193,18671,19778,21552,406,23945,0.0
jmeter_view_dashboard,4324,9336,9415,11167,11779,13001,255,15728,0.0
jmeter_view_backlog,2163,10399,10481,12123,12878,14279,324,16679,0.0
jmeter_open_quick_create,1450,1210,1203,1530,1681,2004,61,3105,0.0
jmeter_create_issue,1444,11089,11338,13178,14005,15201,286,16851,0.0
jmeter_view_project_summary,1439,9624,9682,11547,12405,14004,206,16396,0.0
jmeter_open_editor,1434,1518,1495,1909,2120,2656,85,3804,0.0
jmeter_save_edit,1429,8508,8354,10691,11306,12553,431,16969,0.0
jmeter_browse_projects,1429,1031,1013,1326,1464,1764,60,2641,0.0
jmeter_view_kanban_board,1082,5878,5914,7099,7639,8836,215,11099,0.0
jmeter_view_scrum_board,1082,3559,3528,4569,4971,5719,135,6773,0.0
jmeter_open_comment,725,1073,1036,1468,1590,1908,72,3592,0.0
jmeter_save_comment,723,7124,7166,8537,9104,10010,220,11286,0.0
jmeter_browse_boards,719,1234,1195,1658,1844,2339,93,3439,0.0
selenium_login:open_login_page,47,763,793,1052,1250,1706,116,1913,0.0
selenium_login:login_and_view_dashboard,47,2495,2060,2677,2900,16336,516,26523,0.0
selenium_login,47,3258,2855,3621,3777,17791,640,27589,0.0
selenium_browse_projects_list,46,1006,1088,1352,1428,1472,279,1496,0.0
selenium_browse_boards_list,46,1397,1437,1668,1972,2906,273,3492,0.0
selenium_create_issue:open_quick_create,46,1644,1765,2117,2176,2443,688,2560,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,46,9587,11120,12936,12991,14621,603,15525,0.0
selenium_create_issue:fill_and_submit_issue_form,46,10184,11738,13526,13597,15238,1133,16156,0.0
selenium_create_issue,46,11829,13532,15378,15591,17197,1923,18192,0.0
selenium_edit_issue:open_edit_issue_form,46,1665,1760,2123,2210,2358,472,2463,0.0
selenium_edit_issue:save_edit_issue_form,46,1720,1852,2164,2262,2630,514,2877,0.0
selenium_edit_issue,46,3974,4336,4758,4953,5462,1481,5493,0.0
selenium_save_comment:open_comment_form,46,1054,1118,1422,1602,1824,224,1841,0.0
selenium_save_comment:submit_form,46,6388,7099,8358,9201,9896,811,9952,0.0
selenium_save_comment,46,7724,8322,9920,11374,12144,1264,12275,0.0
selenium_search_jql,46,10572,11812,13742,14445,15230,1226,15530,0.0
selenium_view_scrum_board_backlog,46,4031,4315,5282,5485,5799,893,5966,0.0
selenium_view_scrum_board,46,2692,2822,3874,4014,4178,797,4182,0.0
selenium_view_kanban_board,46,5020,5624,7493,7824,7935,787,7952,0.0
selenium_view_dashboard,46,1292,1356,1644,1723,2210,232,2392,0.0
selenium_view_issue,46,2708,2840,3369,4302,4763,615,4801,0.0
selenium_project_summary,46,2845,2912,3678,4016,7038,412,9125,0.0
selenium_log_out,46,1446,1554,2052,2149,2305,411,2389,0.0
