Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,3560,1550,9641,10602,12088,299,16053,0.0
jmeter_view_issue,15804,3201,3184,3823,4141,4909,183,7357,0.0
jmeter_view_dashboard,4393,8825,8937,10419,10973,12470,295,14927,0.0
jmeter_search_jql,4762,15607,15743,17706,18638,20770,421,23981,0.0
jmeter_open_quick_create,1473,1131,1128,1417,1526,1764,53,2010,0.0
jmeter_view_kanban_board,1100,5443,5449,6534,7073,8266,246,9852,0.0
jmeter_view_scrum_board,1098,3364,3374,4262,4679,5599,175,7770,0.0
jmeter_view_backlog,2199,9692,9793,11269,11855,13204,357,15550,0.0
jmeter_create_issue,1467,10514,10786,12324,12822,13715,191,16099,0.0
jmeter_view_project_summary,1462,9129,9202,10917,11532,12691,208,17043,0.0
jmeter_open_editor,1455,1423,1400,1786,1977,2298,122,2804,0.0
jmeter_save_edit,1454,7992,7874,9850,10501,11906,355,16352,0.0
jmeter_browse_projects,1452,977,964,1239,1357,1618,81,3058,0.0
jmeter_open_comment,736,983,969,1268,1374,1721,73,2161,0.0
jmeter_save_comment,735,6707,6842,7822,8201,9007,264,11197,0.0
jmeter_browse_boards,732,1130,1104,1492,1650,1914,69,2562,0.0
selenium_login:open_login_page,41,767,790,985,1110,1353,129,1371,0.0
selenium_login:login_and_view_dashboard,41,3560,2521,4949,5641,15827,1430,22585,0.0
selenium_login,41,4328,3391,5704,6520,17162,1559,23958,0.0
selenium_browse_projects_list,41,1063,1099,1422,1488,1580,260,1596,0.0
selenium_browse_boards_list,41,1405,1375,1573,1921,2776,759,3140,0.0
selenium_create_issue:open_quick_create,41,1754,1835,2165,2266,2412,709,2465,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,41,9937,10910,12949,12953,14421,616,15033,0.0
selenium_create_issue:fill_and_submit_issue_form,41,10604,11622,13605,13690,15007,1197,15588,0.0
selenium_create_issue,41,12358,13547,15086,15717,17394,2053,17922,0.0
selenium_edit_issue:open_edit_issue_form,41,1752,1786,2137,2212,2317,549,2359,0.0
selenium_edit_issue:save_edit_issue_form,41,1837,1889,2239,2280,2513,600,2533,0.0
selenium_edit_issue,41,4167,4286,4790,5072,5347,1661,5449,0.0
selenium_save_comment:open_comment_form,41,1094,1133,1410,1416,1556,277,1632,0.0
selenium_save_comment:submit_form,41,6430,6886,7783,7931,8163,987,8165,0.0
selenium_save_comment,41,7807,8283,9392,9557,9758,1571,9812,0.0
selenium_search_jql,41,14793,16013,17460,18221,18592,2025,18766,0.0
selenium_view_scrum_board_backlog,41,3934,4077,5060,5349,5898,954,6058,0.0
selenium_view_scrum_board,41,3050,3177,3709,3983,4415,834,4621,0.0
selenium_view_kanban_board,41,5153,5556,7077,7496,7792,847,7854,0.0
selenium_view_dashboard,41,1234,1272,1514,1618,1727,271,1775,0.0
selenium_view_issue,41,2795,2666,3367,3663,8074,749,10871,0.0
selenium_project_summary,41,3022,3114,3756,3789,4310,542,4594,0.0
selenium_log_out,41,1588,1631,1871,2227,2566,428,2598,0.0
