Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,539,433,639,1001,3271,284,7243,0.0
jmeter_view_issue,18196,205,197,252,282,379,125,3966,0.0
jmeter_search_jql,5500,546,521,686,749,891,359,2577,0.0
jmeter_view_dashboard,5077,305,294,394,438,551,184,1449,0.0
jmeter_open_quick_create,1693,92,83,114,134,182,60,1414,0.0
jmeter_create_issue,1693,296,289,383,413,502,164,949,0.0
jmeter_view_project_summary,1692,256,245,325,361,485,146,661,0.0
jmeter_open_editor,1692,89,86,102,112,148,59,987,0.0
jmeter_save_edit,1692,425,405,539,620,833,177,4241,0.0
jmeter_browse_projects,1692,62,56,79,100,135,41,619,0.0
jmeter_view_backlog,2539,377,358,490,546,679,246,4492,0.0
jmeter_view_kanban_board,1270,241,232,308,339,392,168,1304,0.0
jmeter_view_scrum_board,1270,140,131,200,234,293,79,514,0.0
jmeter_open_comment,846,73,68,88,104,143,55,317,0.0
jmeter_save_comment,846,219,215,265,299,382,153,906,0.0
jmeter_browse_boards,846,76,71,83,91,126,56,873,0.0
selenium_login:open_login_page,226,122,115,126,135,162,106,1082,0.0
selenium_login:login_and_view_dashboard,226,563,521,577,1204,1283,435,1319,0.0
selenium_login,226,686,642,696,1318,1424,546,2374,0.0
selenium_browse_projects_list,226,286,282,310,324,354,229,378,0.0
selenium_browse_boards_list,226,295,274,293,322,781,250,798,0.0
selenium_create_issue:open_quick_create,226,737,752,790,798,848,636,885,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,226,612,608,615,622,630,600,1123,0.0
selenium_create_issue:fill_and_submit_issue_form,226,1166,1166,1212,1224,1247,1063,1687,0.0
selenium_create_issue,226,1903,1916,1979,1995,2040,1715,2428,0.0
selenium_edit_issue:open_edit_issue_form,226,518,506,586,621,671,419,721,0.0
selenium_edit_issue:save_edit_issue_form,226,588,584,651,708,761,491,795,0.0
selenium_edit_issue,226,1557,1546,1636,1682,1778,1447,1904,0.0
selenium_save_comment:open_comment_form,226,344,351,407,434,460,226,609,0.0
selenium_save_comment:submit_form,226,765,762,830,869,924,616,935,0.0
selenium_save_comment,226,1281,1268,1368,1426,1676,1049,1783,0.0
selenium_search_jql,226,1198,1188,1264,1292,1420,1082,1609,0.0
selenium_view_scrum_board_backlog,226,1177,1130,1421,1438,1462,746,1542,0.0
selenium_view_scrum_board,226,837,819,897,912,950,429,969,0.0
selenium_view_kanban_board,226,772,752,1065,1167,1445,366,1506,0.0
selenium_view_dashboard,226,362,339,513,536,644,214,732,0.0
selenium_view_issue,226,643,644,708,731,757,493,771,0.0
selenium_project_summary,226,511,500,585,609,649,339,697,0.0
selenium_log_out,226,364,360,406,418,469,313,482,0.0
