Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,717,650,1097,1260,1719,349,2745,0.0
jmeter_view_dashboard,5077,315,299,406,460,610,182,1011,0.0
jmeter_view_issue,18197,219,205,285,334,452,121,3905,0.0
jmeter_search_jql,5501,583,545,750,853,1062,374,7298,0.0
jmeter_open_quick_create,1693,97,85,136,156,200,59,1401,0.0
jmeter_view_backlog,2539,377,347,484,556,781,233,6356,0.0
jmeter_create_issue,1693,337,325,452,510,597,159,1565,0.0
jmeter_view_kanban_board,1270,270,255,348,390,632,152,2726,0.0
jmeter_view_project_summary,1693,266,250,340,391,527,154,1327,0.0
jmeter_view_scrum_board,1270,152,138,213,240,308,79,1235,0.0
jmeter_open_comment,846,78,70,89,99,162,47,1118,0.0
jmeter_open_editor,1692,96,88,115,132,182,59,1831,0.0
jmeter_save_comment,846,241,233,289,310,432,129,1050,0.0
jmeter_save_edit,1692,465,432,618,718,986,218,1952,0.0
jmeter_browse_projects,1692,64,58,84,108,147,41,441,0.0
jmeter_browse_boards,846,85,79,104,130,187,54,382,0.0
selenium_login:open_login_page,218,130,118,132,141,182,107,2118,0.0
selenium_login:login_and_view_dashboard,218,630,520,1154,1236,1333,447,8567,0.0
selenium_login,218,761,640,1281,1372,1479,563,10686,0.0
selenium_browse_projects_list,218,285,278,322,337,367,241,439,0.0
selenium_browse_boards_list,218,373,276,739,756,828,251,7859,0.0
selenium_create_issue:open_quick_create,218,749,757,802,812,858,632,1986,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,218,621,609,618,627,1050,598,1630,0.0
selenium_create_issue:fill_and_submit_issue_form,218,1180,1170,1228,1241,1580,1059,2273,0.0
selenium_create_issue,218,1930,1927,2007,2052,2406,1700,4260,0.0
selenium_edit_issue:open_edit_issue_form,218,536,511,600,656,702,420,2935,0.0
selenium_edit_issue:save_edit_issue_form,218,599,590,684,728,771,499,780,0.0
selenium_edit_issue,218,1591,1564,1681,1739,1837,1443,4510,0.0
selenium_save_comment:open_comment_form,218,337,336,409,417,473,224,533,0.0
selenium_save_comment:submit_form,218,826,796,895,926,1107,681,3627,0.0
selenium_save_comment,218,1339,1292,1437,1603,2004,1139,4135,0.0
selenium_search_jql,218,1226,1188,1317,1391,1560,1062,5067,0.0
selenium_view_scrum_board_backlog,218,1216,1160,1439,1465,1613,779,5596,0.0
selenium_view_scrum_board,218,840,823,895,903,995,284,4504,0.0
selenium_view_kanban_board,218,819,774,1124,1248,1449,334,1559,0.0
selenium_view_dashboard,218,365,346,517,559,651,224,669,0.0
selenium_view_issue,218,669,662,729,748,816,520,2852,0.0
selenium_project_summary,218,516,484,581,609,662,339,4624,0.0
selenium_log_out,218,377,366,424,447,496,312,714,0.0
